Skip to feedback
Index of /data/realtime2/
[ICO]	Name	Last modified	Size	Description
[TXT]	32402.dart	2025-06-10 18:25	133K	Water Column Height (DART) Data
[TXT]	32403.dart	2025-06-08 06:20	94K	Water Column Height (DART) Data
[TXT]	32404.dart	2025-06-10 18:25	89K	Water Column Height (DART) Data
[TXT]	32411.dart	2025-06-08 06:25	131K	Water Column Height (DART) Data
[TXT]	32413.dart	2025-06-10 18:25	133K	Water Column Height (DART) Data
[TXT]	34420.dart	2025-06-10 18:30	132K	Water Column Height (DART) Data
[TXT]	41001.data_spec	2025-06-10 20:15	801K	Raw Spectral Wave Data
[TXT]	41001.spec	2025-06-10 20:10	84K	Spectral Wave Summary Data
[TXT]	41001.supl	2025-06-10 20:20	172K	Supplemental Measurements Data
[TXT]	41001.swdir	2025-06-10 20:15	784K	Spectral Wave Data (alpha1)
[TXT]	41001.swdir2	2025-06-10 20:15	782K	Spectral Wave Data (alpha2)
[TXT]	41001.swr1	2025-06-10 20:15	760K	Spectral Wave Data (r1)
[TXT]	41001.swr2	2025-06-10 20:15	760K	Spectral Wave Data (r2)
[TXT]	41001.txt	2025-06-10 20:20	338K	Standard Meteorological Data
[TXT]	41002.data_spec	2025-06-10 20:15	1.4M	Raw Spectral Wave Data
[TXT]	41002.spec	2025-06-10 20:10	146K	Spectral Wave Summary Data
[TXT]	41002.supl	2025-06-10 20:20	298K	Supplemental Measurements Data
[TXT]	41002.swdir	2025-06-10 20:15	1.3M	Spectral Wave Data (alpha1)
[TXT]	41002.swdir2	2025-06-10 20:15	1.3M	Spectral Wave Data (alpha2)
[TXT]	41002.swr1	2025-06-10 20:15	1.3M	Spectral Wave Data (r1)
[TXT]	41002.swr2	2025-06-10 20:15	1.3M	Spectral Wave Data (r2)
[TXT]	41002.txt	2025-06-10 20:20	584K	Standard Meteorological Data
[TXT]	41004.data_spec	2025-06-10 20:15	1.4M	Raw Spectral Wave Data
[TXT]	41004.spec	2025-06-10 20:10	149K	Spectral Wave Summary Data
[TXT]	41004.supl	2025-06-10 20:25	306K	Supplemental Measurements Data
[TXT]	41004.swdir	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha1)
[TXT]	41004.swdir2	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha2)
[TXT]	41004.swr1	2025-06-10 20:15	1.3M	Spectral Wave Data (r1)
[TXT]	41004.swr2	2025-06-10 20:15	1.3M	Spectral Wave Data (r2)
[TXT]	41004.txt	2025-06-10 20:25	599K	Standard Meteorological Data
[TXT]	41008.data_spec	2025-06-10 20:15	1.4M	Raw Spectral Wave Data
[TXT]	41008.spec	2025-06-10 20:10	150K	Spectral Wave Summary Data
[TXT]	41008.supl	2025-06-10 20:25	307K	Supplemental Measurements Data
[TXT]	41008.swdir	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha1)
[TXT]	41008.swdir2	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha2)
[TXT]	41008.swr1	2025-06-10 20:15	1.3M	Spectral Wave Data (r1)
[TXT]	41008.swr2	2025-06-10 20:15	1.3M	Spectral Wave Data (r2)
[TXT]	41008.txt	2025-06-10 20:25	602K	Standard Meteorological Data
[TXT]	41009.data_spec	2025-06-10 20:15	849K	Raw Spectral Wave Data
[TXT]	41009.spec	2025-06-10 20:10	89K	Spectral Wave Summary Data
[TXT]	41009.supl	2025-06-10 20:25	215K	Supplemental Measurements Data
[TXT]	41009.swdir	2025-06-10 20:15	823K	Spectral Wave Data (alpha1)
[TXT]	41009.swdir2	2025-06-10 20:15	824K	Spectral Wave Data (alpha2)
[TXT]	41009.swr1	2025-06-10 20:15	803K	Spectral Wave Data (r1)
[TXT]	41009.swr2	2025-06-10 20:15	803K	Spectral Wave Data (r2)
[TXT]	41009.txt	2025-06-10 20:25	601K	Standard Meteorological Data
[TXT]	41010.data_spec	2025-06-10 20:15	1.4M	Raw Spectral Wave Data
[TXT]	41010.spec	2025-06-10 20:10	150K	Spectral Wave Summary Data
[TXT]	41010.supl	2025-06-10 20:20	307K	Supplemental Measurements Data
[TXT]	41010.swdir	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha1)
[TXT]	41010.swdir2	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha2)
[TXT]	41010.swr1	2025-06-10 20:15	1.3M	Spectral Wave Data (r1)
[TXT]	41010.swr2	2025-06-10 20:15	1.3M	Spectral Wave Data (r2)
[TXT]	41010.txt	2025-06-10 20:20	601K	Standard Meteorological Data
[TXT]	41013.data_spec	2025-06-10 20:15	1.4M	Raw Spectral Wave Data
[TXT]	41013.spec	2025-06-10 20:10	149K	Spectral Wave Summary Data
[TXT]	41013.supl	2025-06-10 20:20	305K	Supplemental Measurements Data
[TXT]	41013.swdir	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha1)
[TXT]	41013.swdir2	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha2)
[TXT]	41013.swr1	2025-06-10 20:15	1.3M	Spectral Wave Data (r1)
[TXT]	41013.swr2	2025-06-10 20:15	1.3M	Spectral Wave Data (r2)
[TXT]	41013.txt	2025-06-10 20:20	598K	Standard Meteorological Data
[TXT]	41024.ocean	2025-06-10 19:35	87K	Oceanographic Data
[TXT]	41024.txt	2025-06-10 19:35	101K	Standard Meteorological Data
[TXT]	41025.data_spec	2025-06-10 20:15	1.4M	Raw Spectral Wave Data
[TXT]	41025.spec	2025-06-10 20:10	149K	Spectral Wave Summary Data
[TXT]	41025.supl	2025-06-10 20:25	304K	Supplemental Measurements Data
[TXT]	41025.swdir	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha1)
[TXT]	41025.swdir2	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha2)
[TXT]	41025.swr1	2025-06-10 20:15	1.3M	Spectral Wave Data (r1)
[TXT]	41025.swr2	2025-06-10 20:15	1.3M	Spectral Wave Data (r2)
[TXT]	41025.txt	2025-06-10 20:25	595K	Standard Meteorological Data
[TXT]	41029.ocean	2025-06-10 19:35	87K	Oceanographic Data
[TXT]	41029.txt	2025-06-10 19:35	101K	Standard Meteorological Data
[TXT]	41033.ocean	2025-06-10 19:35	87K	Oceanographic Data
[TXT]	41033.txt	2025-06-10 19:35	101K	Standard Meteorological Data
[TXT]	41037.ocean	2025-06-10 19:35	86K	Oceanographic Data
[TXT]	41037.txt	2025-06-10 19:35	100K	Standard Meteorological Data
[TXT]	41038.ocean	2025-06-10 19:35	86K	Oceanographic Data
[TXT]	41038.txt	2025-06-10 19:35	101K	Standard Meteorological Data
[TXT]	41040.data_spec	2025-06-10 20:15	1.4M	Raw Spectral Wave Data
[TXT]	41040.spec	2025-06-10 20:10	150K	Spectral Wave Summary Data
[TXT]	41040.supl	2025-06-10 20:20	307K	Supplemental Measurements Data
[TXT]	41040.swdir	2025-06-10 20:15	1.3M	Spectral Wave Data (alpha1)
[TXT]	41040.swdir2	2025-06-10 20:15	1.3M	Spectral Wave Data (alpha2)
[TXT]	41040.swr1	2025-06-10 20:15	1.3M	Spectral Wave Data (r1)
[TXT]	41040.swr2	2025-06-10 20:15	1.3M	Spectral Wave Data (r2)
[TXT]	41040.txt	2025-06-10 20:20	601K	Standard Meteorological Data
[TXT]	41043.data_spec	2025-06-10 20:15	1.4M	Raw Spectral Wave Data
[TXT]	41043.spec	2025-06-10 20:10	150K	Spectral Wave Summary Data
[TXT]	41043.supl	2025-06-10 20:20	307K	Supplemental Measurements Data
[TXT]	41043.swdir	2025-06-10 20:15	1.3M	Spectral Wave Data (alpha1)
[TXT]	41043.swdir2	2025-06-10 20:15	1.3M	Spectral Wave Data (alpha2)
[TXT]	41043.swr1	2025-06-10 20:15	1.3M	Spectral Wave Data (r1)
[TXT]	41043.swr2	2025-06-10 20:15	1.3M	Spectral Wave Data (r2)
[TXT]	41043.txt	2025-06-10 20:20	601K	Standard Meteorological Data
[TXT]	41044.data_spec	2025-06-10 20:15	1.4M	Raw Spectral Wave Data
[TXT]	41044.spec	2025-06-10 20:10	150K	Spectral Wave Summary Data
[TXT]	41044.supl	2025-06-10 20:20	307K	Supplemental Measurements Data
[TXT]	41044.swdir	2025-06-10 20:15	1.3M	Spectral Wave Data (alpha1)
[TXT]	41044.swdir2	2025-06-10 20:15	1.3M	Spectral Wave Data (alpha2)
[TXT]	41044.swr1	2025-06-10 20:15	1.3M	Spectral Wave Data (r1)
[TXT]	41044.swr2	2025-06-10 20:15	1.3M	Spectral Wave Data (r2)
[TXT]	41044.txt	2025-06-10 20:20	601K	Standard Meteorological Data
[TXT]	41046.data_spec	2025-06-10 20:15	1.4M	Raw Spectral Wave Data
[TXT]	41046.spec	2025-06-10 20:10	150K	Spectral Wave Summary Data
[TXT]	41046.supl	2025-06-10 20:20	307K	Supplemental Measurements Data
[TXT]	41046.swdir	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha1)
[TXT]	41046.swdir2	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha2)
[TXT]	41046.swr1	2025-06-10 20:15	1.3M	Spectral Wave Data (r1)
[TXT]	41046.swr2	2025-06-10 20:15	1.3M	Spectral Wave Data (r2)
[TXT]	41046.txt	2025-06-10 20:20	601K	Standard Meteorological Data
[TXT]	41047.data_spec	2025-06-10 20:15	1.4M	Raw Spectral Wave Data
[TXT]	41047.spec	2025-06-10 20:10	150K	Spectral Wave Summary Data
[TXT]	41047.supl	2025-06-10 20:20	307K	Supplemental Measurements Data
[TXT]	41047.swdir	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha1)
[TXT]	41047.swdir2	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha2)
[TXT]	41047.swr1	2025-06-10 20:15	1.3M	Spectral Wave Data (r1)
[TXT]	41047.swr2	2025-06-10 20:15	1.3M	Spectral Wave Data (r2)
[TXT]	41047.txt	2025-06-10 20:20	601K	Standard Meteorological Data
[TXT]	41049.data_spec	2025-06-10 20:15	1.4M	Raw Spectral Wave Data
[TXT]	41049.spec	2025-06-10 20:10	150K	Spectral Wave Summary Data
[TXT]	41049.supl	2025-06-10 20:20	307K	Supplemental Measurements Data
[TXT]	41049.swdir	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha1)
[TXT]	41049.swdir2	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha2)
[TXT]	41049.swr1	2025-06-10 20:15	1.3M	Spectral Wave Data (r1)
[TXT]	41049.swr2	2025-06-10 20:15	1.3M	Spectral Wave Data (r2)
[TXT]	41049.txt	2025-06-10 20:20	600K	Standard Meteorological Data
[TXT]	41052.adcp	2025-06-10 20:25	754K	Acoustic Doppler Current Profiler Data
[TXT]	41052.ocean	2025-06-10 20:25	87K	Oceanographic Data
[TXT]	41052.spec	2025-06-10 20:25	75K	Spectral Wave Summary Data
[TXT]	41052.txt	2025-06-10 20:25	599K	Standard Meteorological Data
[TXT]	41053.adcp	2025-06-10 20:25	542K	Acoustic Doppler Current Profiler Data
[TXT]	41053.ocean	2025-06-10 20:25	87K	Oceanographic Data
[TXT]	41053.spec	2025-06-10 20:25	75K	Spectral Wave Summary Data
[TXT]	41053.txt	2025-06-10 20:25	604K	Standard Meteorological Data
[TXT]	41056.adcp	2025-06-10 20:25	503K	Acoustic Doppler Current Profiler Data
[TXT]	41056.spec	2025-06-10 20:25	75K	Spectral Wave Summary Data
[TXT]	41056.txt	2025-06-10 20:25	598K	Standard Meteorological Data
[TXT]	41064.ocean	2025-06-10 19:35	54K	Oceanographic Data
[TXT]	41064.txt	2025-06-10 19:35	63K	Standard Meteorological Data
[TXT]	41065.spec	2025-06-10 19:35	37K	Spectral Wave Summary Data
[TXT]	41065.txt	2025-06-10 19:35	50K	Standard Meteorological Data
[TXT]	41066.ocean	2025-06-02 23:30	87K	Oceanographic Data
[TXT]	41066.txt	2025-06-10 19:35	100K	Standard Meteorological Data
[TXT]	41067.spec	2025-06-10 20:05	207K	Spectral Wave Summary Data
[TXT]	41067.txt	2025-06-10 20:05	784K	Standard Meteorological Data
[TXT]	41068.ocean	2025-06-10 19:35	87K	Oceanographic Data
[TXT]	41068.txt	2025-06-10 19:35	101K	Standard Meteorological Data
[TXT]	41069.ocean	2025-05-17 18:35	87K	Oceanographic Data
[TXT]	41069.txt	2025-05-17 18:40	101K	Standard Meteorological Data
[TXT]	41070.spec	2025-06-10 20:20	75K	Spectral Wave Summary Data
[TXT]	41070.txt	2025-06-10 20:20	101K	Standard Meteorological Data
[TXT]	41076.spec	2025-05-25 06:15	74K	Spectral Wave Summary Data
[TXT]	41076.txt	2025-05-25 06:16	100K	Standard Meteorological Data
[TXT]	41082.ocean	2025-06-10 19:55	431K	Oceanographic Data
[TXT]	41082.spec	2025-06-10 19:55	62K	Spectral Wave Summary Data
[TXT]	41082.srad	2025-06-10 19:55	202K	Solar Radiation Data
[TXT]	41082.txt	2025-06-10 19:55	497K	Standard Meteorological Data
[TXT]	41083.ocean	2025-06-10 19:55	376K	Oceanographic Data
[TXT]	41083.spec	2025-06-10 19:55	55K	Spectral Wave Summary Data
[TXT]	41083.srad	2025-06-10 19:55	176K	Solar Radiation Data
[TXT]	41083.txt	2025-06-10 19:55	434K	Standard Meteorological Data
[TXT]	41108.data_spec	2025-06-10 20:10	1.0M	Raw Spectral Wave Data
[TXT]	41108.spec	2025-06-10 20:10	150K	Spectral Wave Summary Data
[TXT]	41108.swdir	2025-06-10 20:10	970K	Spectral Wave Data (alpha1)
[TXT]	41108.swdir2	2025-06-10 20:10	967K	Spectral Wave Data (alpha2)
[TXT]	41108.swr1	2025-06-10 20:10	910K	Spectral Wave Data (r1)
[TXT]	41108.swr2	2025-06-10 20:10	910K	Spectral Wave Data (r2)
[TXT]	41108.txt	2025-06-10 20:10	200K	Standard Meteorological Data
[TXT]	41110.data_spec	2025-06-10 20:10	1.0M	Raw Spectral Wave Data
[TXT]	41110.spec	2025-06-10 20:10	150K	Spectral Wave Summary Data
[TXT]	41110.swdir	2025-06-10 20:10	972K	Spectral Wave Data (alpha1)
[TXT]	41110.swdir2	2025-06-10 20:10	969K	Spectral Wave Data (alpha2)
[TXT]	41110.swr1	2025-06-10 20:10	913K	Spectral Wave Data (r1)
[TXT]	41110.swr2	2025-06-10 20:10	913K	Spectral Wave Data (r2)
[TXT]	41110.txt	2025-06-10 20:10	200K	Standard Meteorological Data
[TXT]	41112.data_spec	2025-06-10 20:10	1.0M	Raw Spectral Wave Data
[TXT]	41112.spec	2025-06-10 20:10	150K	Spectral Wave Summary Data
[TXT]	41112.swdir	2025-06-10 20:10	970K	Spectral Wave Data (alpha1)
[TXT]	41112.swdir2	2025-06-10 20:10	970K	Spectral Wave Data (alpha2)
[TXT]	41112.swr1	2025-06-10 20:10	913K	Spectral Wave Data (r1)
[TXT]	41112.swr2	2025-06-10 20:10	913K	Spectral Wave Data (r2)
[TXT]	41112.txt	2025-06-10 20:10	201K	Standard Meteorological Data
[TXT]	41113.data_spec	2025-06-10 20:20	1.0M	Raw Spectral Wave Data
[TXT]	41113.spec	2025-06-10 20:20	150K	Spectral Wave Summary Data
[TXT]	41113.swdir	2025-06-10 20:20	965K	Spectral Wave Data (alpha1)
[TXT]	41113.swdir2	2025-06-10 20:20	967K	Spectral Wave Data (alpha2)
[TXT]	41113.swr1	2025-06-10 20:20	913K	Spectral Wave Data (r1)
[TXT]	41113.swr2	2025-06-10 20:20	913K	Spectral Wave Data (r2)
[TXT]	41113.txt	2025-06-10 20:20	201K	Standard Meteorological Data
[TXT]	41114.data_spec	2025-06-10 20:10	821K	Raw Spectral Wave Data
[TXT]	41114.spec	2025-06-10 20:10	125K	Spectral Wave Summary Data
[TXT]	41114.swdir	2025-06-10 20:10	792K	Spectral Wave Data (alpha1)
[TXT]	41114.swdir2	2025-06-10 20:10	794K	Spectral Wave Data (alpha2)
[TXT]	41114.swr1	2025-06-10 20:10	758K	Spectral Wave Data (r1)
[TXT]	41114.swr2	2025-06-10 20:10	758K	Spectral Wave Data (r2)
[TXT]	41114.txt	2025-06-10 20:10	167K	Standard Meteorological Data
[TXT]	41115.data_spec	2025-06-10 20:10	1.0M	Raw Spectral Wave Data
[TXT]	41115.spec	2025-06-10 20:10	150K	Spectral Wave Summary Data
[TXT]	41115.swdir	2025-06-10 20:10	918K	Spectral Wave Data (alpha1)
[TXT]	41115.swdir2	2025-06-10 20:10	918K	Spectral Wave Data (alpha2)
[TXT]	41115.swr1	2025-06-10 20:10	913K	Spectral Wave Data (r1)
[TXT]	41115.swr2	2025-06-10 20:10	913K	Spectral Wave Data (r2)
[TXT]	41115.txt	2025-06-10 20:10	200K	Standard Meteorological Data
[TXT]	41117.data_spec	2025-06-10 20:10	1.0M	Raw Spectral Wave Data
[TXT]	41117.spec	2025-06-10 20:05	150K	Spectral Wave Summary Data
[TXT]	41117.swdir	2025-06-10 20:10	961K	Spectral Wave Data (alpha1)
[TXT]	41117.swdir2	2025-06-10 20:10	964K	Spectral Wave Data (alpha2)
[TXT]	41117.swr1	2025-06-10 20:10	913K	Spectral Wave Data (r1)
[TXT]	41117.swr2	2025-06-10 20:10	913K	Spectral Wave Data (r2)
[TXT]	41117.txt	2025-06-10 20:10	200K	Standard Meteorological Data
[TXT]	41120.adcp	2025-06-10 20:25	72K	Acoustic Doppler Current Profiler Data
[TXT]	41120.data_spec	2025-06-10 20:25	1.5M	Raw Spectral Wave Data
[TXT]	41120.spec	2025-06-10 20:25	150K	Spectral Wave Summary Data
[TXT]	41120.swdir	2025-06-10 20:25	1.4M	Spectral Wave Data (alpha1)
[TXT]	41120.swdir2	2025-06-10 20:25	1.4M	Spectral Wave Data (alpha2)
[TXT]	41120.swr1	2025-06-10 20:25	1.4M	Spectral Wave Data (r1)
[TXT]	41120.swr2	2025-06-10 20:25	1.4M	Spectral Wave Data (r2)
[TXT]	41120.txt	2025-06-10 20:25	201K	Standard Meteorological Data
[TXT]	41122.data_spec	2025-06-10 20:10	766K	Raw Spectral Wave Data
[TXT]	41122.spec	2025-06-10 20:10	115K	Spectral Wave Summary Data
[TXT]	41122.swdir	2025-06-10 20:10	654K	Spectral Wave Data (alpha1)
[TXT]	41122.swdir2	2025-06-10 20:10	658K	Spectral Wave Data (alpha2)
[TXT]	41122.swr1	2025-06-10 20:10	621K	Spectral Wave Data (r1)
[TXT]	41122.swr2	2025-06-10 20:10	621K	Spectral Wave Data (r2)
[TXT]	41122.txt	2025-06-10 20:10	158K	Standard Meteorological Data
[TXT]	41159.data_spec	2025-06-10 20:10	1.0M	Raw Spectral Wave Data
[TXT]	41159.spec	2025-06-10 20:10	150K	Spectral Wave Summary Data
[TXT]	41159.swdir	2025-06-10 20:10	972K	Spectral Wave Data (alpha1)
[TXT]	41159.swdir2	2025-06-10 20:10	968K	Spectral Wave Data (alpha2)
[TXT]	41159.swr1	2025-06-10 20:10	913K	Spectral Wave Data (r1)
[TXT]	41159.swr2	2025-06-10 20:10	913K	Spectral Wave Data (r2)
[TXT]	41159.txt	2025-06-10 20:10	201K	Standard Meteorological Data
[TXT]	41420.dart	2025-06-10 18:25	133K	Water Column Height (DART) Data
[TXT]	41421.dart	2025-06-10 18:20	203K	Water Column Height (DART) Data
[TXT]	41425.dart	2025-06-10 18:25	132K	Water Column Height (DART) Data
[TXT]	42001.data_spec	2025-06-10 20:15	1.4M	Raw Spectral Wave Data
[TXT]	42001.spec	2025-06-10 20:10	150K	Spectral Wave Summary Data
[TXT]	42001.supl	2025-06-10 20:20	307K	Supplemental Measurements Data
[TXT]	42001.swdir	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha1)
[TXT]	42001.swdir2	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha2)
[TXT]	42001.swr1	2025-06-10 20:15	1.3M	Spectral Wave Data (r1)
[TXT]	42001.swr2	2025-06-10 20:15	1.3M	Spectral Wave Data (r2)
[TXT]	42001.txt	2025-06-10 20:20	601K	Standard Meteorological Data
[TXT]	42002.data_spec	2025-06-10 20:15	1.4M	Raw Spectral Wave Data
[TXT]	42002.spec	2025-06-10 20:10	150K	Spectral Wave Summary Data
[TXT]	42002.supl	2025-06-10 20:20	307K	Supplemental Measurements Data
[TXT]	42002.swdir	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha1)
[TXT]	42002.swdir2	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha2)
[TXT]	42002.swr1	2025-06-10 20:15	1.3M	Spectral Wave Data (r1)
[TXT]	42002.swr2	2025-06-10 20:15	1.3M	Spectral Wave Data (r2)
[TXT]	42002.txt	2025-06-10 20:20	601K	Standard Meteorological Data
[TXT]	42012.data_spec	2025-06-10 20:15	1.4M	Raw Spectral Wave Data
[TXT]	42012.spec	2025-06-10 20:10	150K	Spectral Wave Summary Data
[TXT]	42012.supl	2025-06-10 20:20	307K	Supplemental Measurements Data
[TXT]	42012.swdir	2025-06-10 20:15	1.3M	Spectral Wave Data (alpha1)
[TXT]	42012.swdir2	2025-06-10 20:15	1.3M	Spectral Wave Data (alpha2)
[TXT]	42012.swr1	2025-06-10 20:15	1.3M	Spectral Wave Data (r1)
[TXT]	42012.swr2	2025-06-10 20:15	1.3M	Spectral Wave Data (r2)
[TXT]	42012.txt	2025-06-10 20:20	601K	Standard Meteorological Data
[TXT]	42013.adcp	2025-06-10 19:50	358K	Acoustic Doppler Current Profiler Data
[TXT]	42013.ocean	2025-06-10 20:20	174K	Oceanographic Data
[TXT]	42013.srad	2025-06-10 20:20	81K	Solar Radiation Data
[TXT]	42013.txt	2025-06-10 20:20	201K	Standard Meteorological Data
[TXT]	42019.data_spec	2025-06-10 20:15	1.4M	Raw Spectral Wave Data
[TXT]	42019.spec	2025-06-10 20:10	150K	Spectral Wave Summary Data
[TXT]	42019.supl	2025-06-10 20:20	307K	Supplemental Measurements Data
[TXT]	42019.swdir	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha1)
[TXT]	42019.swdir2	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha2)
[TXT]	42019.swr1	2025-06-10 20:15	1.3M	Spectral Wave Data (r1)
[TXT]	42019.swr2	2025-06-10 20:15	1.3M	Spectral Wave Data (r2)
[TXT]	42019.txt	2025-06-10 20:20	601K	Standard Meteorological Data
[TXT]	42020.data_spec	2025-06-08 23:05	1.2M	Raw Spectral Wave Data
[TXT]	42020.spec	2025-06-08 23:05	125K	Spectral Wave Summary Data
[TXT]	42020.supl	2025-06-10 20:20	307K	Supplemental Measurements Data
[TXT]	42020.swdir	2025-06-08 23:05	1.1M	Spectral Wave Data (alpha1)
[TXT]	42020.swdir2	2025-06-08 23:05	1.1M	Spectral Wave Data (alpha2)
[TXT]	42020.swr1	2025-06-08 23:05	1.1M	Spectral Wave Data (r1)
[TXT]	42020.swr2	2025-06-08 23:05	1.1M	Spectral Wave Data (r2)
[TXT]	42020.txt	2025-06-10 20:20	602K	Standard Meteorological Data
[TXT]	42022.txt	2025-06-10 20:20	202K	Standard Meteorological Data
[TXT]	42023.adcp	2025-06-10 18:20	612K	Acoustic Doppler Current Profiler Data
[TXT]	42023.ocean	2025-06-10 20:20	174K	Oceanographic Data
[TXT]	42023.txt	2025-06-10 20:20	201K	Standard Meteorological Data
[TXT]	42026.adcp	2025-06-10 20:00	1.1M	Acoustic Doppler Current Profiler Data
[TXT]	42026.ocean	2025-06-10 20:20	174K	Oceanographic Data
[TXT]	42026.txt	2025-06-10 20:20	201K	Standard Meteorological Data
[TXT]	42035.data_spec	2025-06-10 20:15	1.4M	Raw Spectral Wave Data
[TXT]	42035.spec	2025-06-10 20:15	150K	Spectral Wave Summary Data
[TXT]	42035.supl	2025-06-10 20:25	307K	Supplemental Measurements Data
[TXT]	42035.swdir	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha1)
[TXT]	42035.swdir2	2025-06-10 20:15	1.4M	Spectral Wave Data (alpha2)
